Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,6230,0,2500,6382.145832134846,29.410699999061762,46585.25209999971,277.37303370786515,52.113066337531826,0.0,2500,3500,5200,6700,22000,30000,41000,43000,45000,47000,47000
INFER,inference_time_ms,5298,0,13,21.609343007178516,6.188605999795982,572.2566790000201,0.0,44.31701853230235,0.0,13,26,30,33,44,50,65,67,190,570,570
WALL,predict_wall_time_ms,5298,0,2600,5448.05598624008,63.08960000023944,34245.08979999882,0.0,44.31701853230235,0.0,2600,3400,5000,5700,16000,24000,30000,32000,33000,34000,34000
,Aggregated,16826,0,1800,4085.2879738827605,6.188605999795982,46585.25209999971,102.70022584096041,140.74710340213653,0.0,1800,2600,3300,4000,11000,23000,31000,38000,44000,46000,47000
