Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,4683,0,200,222.90038992099647,2.36869999935152,973.5618000013346,274.5302156737134,39.45633803898248,0.0,200,260,300,330,410,480,570,650,960,970,970
INFER,inference_time_ms,3912,0,8,11.235547906184305,5.528054000023985,314.91487500034054,0.0,32.96032338426211,0.0,8,10,11,13,18,24,31,39,210,310,310
WALL,predict_wall_time_ms,3912,0,210,236.49707620144392,12.915700001030928,973.5734000005323,0.0,32.96032338426211,0.0,210,260,300,330,420,490,580,670,960,970,970
,Aggregated,12507,0,140,160.94767342360836,2.36869999935152,973.5734000005323,102.79243623570801,105.37698480750672,0.0,140,210,250,280,370,450,540,610,960,970,970
