Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,398,0,46,118.71210904522988,3.3089999997173436,16885.458399999152,269.2110552763819,3.352187575640734,0.0,46,68,110,150,190,210,230,250,17000,17000,17000
INFER,inference_time_ms,329,0,30,79.1398685805744,2.3856329999034642,16790.443277999657,0.0,2.771029428105029,0.0,30,31,32,32,34,37,45,49,17000,17000,17000
WALL,predict_wall_time_ms,329,0,46,131.4498516717225,11.309299999993527,16885.48879999962,0.0,2.771029428105029,0.0,46,61,89,170,200,210,230,250,17000,17000,17000
,Aggregated,1056,0,41,110.35173992709014,2.3856329999034642,16885.48879999962,101.46401515151516,8.894246431850792,0.0,41,46,56,82,180,200,220,240,17000,17000,17000
