Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3899,0,440,786.3158823801114,3.199200000381097,38400.74800000002,274.1149012567325,32.77375894372822,0.0,440,550,640,720,930,1100,1300,1700,38000,38000,38000
INFER,inference_time_ms,3233,0,43,270.10715347845246,3.97687500117172,22468.94444499958,0.0,27.175573907430962,0.0,43,64,75,81,96,120,140,270,22000,22000,22000
WALL,predict_wall_time_ms,3233,0,450,862.7392181874376,18.254300000990042,38400.77310000015,0.0,27.175573907430962,0.0,450,550,630,700,890,1100,1300,15000,38000,38000,38000
,Aggregated,10365,0,320,649.1401780024959,3.199200000381097,38400.77310000015,103.1137481910275,87.12490675859014,0.0,320,450,540,600,810,1000,1300,1700,38000,38000,38000
