Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,782,0,54,123.12913951405868,2.673000000868342,15437.436799999887,273.5869565217391,6.5799364295804725,0.0,54,86,120,140,190,220,250,270,15000,15000,15000
INFER,inference_time_ms,649,0,29,51.14697489677112,2.183341000090877,15393.885864999902,0.0,5.460842382094279,0.0,29,29,30,30,32,33,36,38,15000,15000,15000
WALL,predict_wall_time_ms,649,0,55,134.49823482278882,10.240199999316246,15437.459100000524,0.0,5.460842382094279,0.0,55,83,110,160,200,220,250,280,15000,15000,15000
,Aggregated,2080,0,41,104.2166962538404,2.183341000090877,15437.459100000524,102.85817307692308,17.501621193769033,0.0,41,58,82,97,180,200,240,260,15000,15000,15000
