Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,10141,43,370,4226.813668977427,2.4909999992814846,60484.407299999475,110.66610787890741,85.33802182706852,0.3618513892677198,370,1300,4200,5700,9600,22000,48000,55000,60000,60000,60000
INFER,inference_time_ms,2637,0,120,751.4903466700592,60.54437800048618,44965.45750500081,0.0,22.190746825557607,0.0,120,150,170,200,270,370,480,45000,45000,45000,45000
WALL,predict_wall_time_ms,2637,0,7200,12790.438742510414,2085.940999999366,60194.965100000445,0.0,22.190746825557607,0.0,7200,9200,10000,18000,40000,52000,57000,58000,60000,60000,60000
,Aggregated,15415,43,380,5097.254909196804,2.4909999992814846,60484.407299999475,72.80343820953617,129.71951547818372,0.3618513892677198,380,3500,5700,7000,10000,24000,51000,56000,60000,60000,60000
