Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3578,0,190,349.95828024033193,3.069300000788644,32374.612700001308,272.36556735606484,30.143956853334743,0.0,190,240,290,310,390,450,550,660,32000,32000,32000
INFER,inference_time_ms,2947,0,22,115.554338676635,3.421729001274798,16602.44252600023,0.0,24.827904093565536,0.0,22,29,32,35,44,56,71,92,17000,17000,17000
WALL,predict_wall_time_ms,2947,0,200,390.76717750253374,8.745700000872603,32374.62880000021,0.0,24.827904093565536,0.0,200,250,290,320,390,450,550,650,32000,32000,32000
,Aggregated,9472,0,130,289.72553155404364,3.069300000788644,32374.62880000021,102.88471283783784,79.79976504046581,0.0,130,200,240,270,350,420,510,620,32000,32000,32000
