Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,4369,0,230,251.27981718931335,3.0234999994718237,826.7479000005551,275.01029983978026,36.78000728911906,0.0,230,290,330,360,440,520,600,660,780,830,830
INFER,inference_time_ms,3633,0,49,52.19470514835726,4.199906999929226,352.7545399999781,0.0,30.584061909217112,0.0,49,52,55,58,75,87,99,100,210,350,350
WALL,predict_wall_time_ms,3633,0,250,273.0742034681961,18.563899999207933,826.7723999997543,0.0,30.584061909217112,0.0,250,310,350,380,460,530,610,670,780,830,830
,Aggregated,11635,0,170,195.92122615419515,3.0234999994718237,826.7723999997543,103.2677266867211,97.9481311075533,0.0,170,240,290,320,410,480,570,640,780,830,830
