Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,6724,0,1900,5801.81838839976,30.745499998374726,48881.830599999375,278.0060975609756,56.19869052797134,0.0,1900,2300,2800,3500,23000,27000,42000,45000,47000,49000,49000
INFER,inference_time_ms,5705,0,70,83.13336518527127,3.2191619999366594,562.0726470000363,0.0,47.681964524401614,0.0,70,87,110,110,140,160,200,220,300,560,560
WALL,predict_wall_time_ms,5705,0,1900,4675.716773900084,114.68099999910919,29044.52719999972,0.0,47.681964524401614,0.0,1900,2300,2700,3000,18000,26000,27000,27000,28000,29000,29000
,Aggregated,18134,0,1600,3648.432055094417,3.2191619999366594,48881.830599999375,103.08332414249476,151.56261957677458,0.0,1600,1900,2200,2500,11000,25000,27000,37000,47000,47000,49000
