Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,6513,0,2000,3810.174061906966,12.164600000687642,19445.383700000093,276.4799631506218,54.88360357709072,0.0,2000,2400,3000,4600,11000,16000,17000,17000,17000,19000,19000
INFER,inference_time_ms,5484,0,75,89.03961796608209,3.221961999997802,397.769927000013,0.0,46.21244925790964,0.0,75,93,110,120,150,170,230,240,260,400,400
WALL,predict_wall_time_ms,5484,0,2000,3157.685334518607,68.79860000117333,13151.9602999997,0.0,46.21244925790964,0.0,2000,2300,2800,3100,10000,11000,11000,12000,13000,13000,13000
,Aggregated,17481,0,1500,2438.1158574810347,3.221961999997802,19445.383700000093,103.00978204908186,147.30850209291,0.0,1500,2000,2300,2600,9800,11000,15000,16000,17000,19000,19000
