Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3428,0,4800,3876.0360825262815,4.700199999206234,8325.498100002733,270.08605600933487,29.110257270422384,0.0,4800,5000,5100,5200,5300,5500,5600,5700,8300,8300,8300
INFER,inference_time_ms,2797,0,1200,1158.6602085669115,20.08019500044611,1311.9665300000634,0.0,23.751863939723282,0.0,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300
WALL,predict_wall_time_ms,2797,0,5000,4611.468815981433,81.46999999735272,8325.526600001467,0.0,23.751863939723282,0.0,5000,5100,5200,5200,5400,5500,5600,5700,8300,8300,8300
,Aggregated,9022,0,4300,3261.594166765903,4.700199999206234,8325.526600001467,102.62192418532476,76.61398514986895,0.0,4300,4900,5000,5100,5300,5400,5500,5600,7200,8300,8300
