Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,469,0,48,75.63308784656115,3.4473000014259014,245.93040000036126,273.76119402985074,3.940180227927632,0.0,48,73,110,130,180,200,220,230,250,250,250
INFER,inference_time_ms,389,0,20,20.31518793057639,17.23629499974777,31.2734110002566,0.0,3.2680812551467993,0.0,20,21,21,21,23,24,25,27,31,31,31
WALL,predict_wall_time_ms,389,0,37,74.80612622109844,25.831099999777507,245.953699999518,0.0,3.2680812551467993,0.0,37,71,75,160,190,210,230,230,250,250,250
,Aggregated,1247,0,30,58.11877257821869,3.4473000014259014,245.953699999518,102.96230954290297,10.47634273822123,0.0,30,46,71,75,170,190,220,230,250,250,250
