Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3444,0,1000,909.2758968931373,3.611800002545351,2097.5747000011324,272.50987224157956,29.007856181814642,0.0,1000,1100,1200,1200,1300,1400,1500,1800,2000,2100,2100
INFER,inference_time_ms,2835,0,320,312.31777485891496,21.672265000233892,442.3142610003197,0.0,23.87841819844498,0.0,320,340,350,360,380,400,420,440,440,440,440
WALL,predict_wall_time_ms,2835,0,1100,1055.7370795414517,98.5794000007445,2097.608500000206,0.0,23.87841819844498,0.0,1100,1200,1200,1300,1400,1400,1600,1800,2000,2100,2100
,Aggregated,9114,0,850,769.1443604482192,3.611800002545351,2097.608500000206,102.9760807548826,76.7646925787046,0.0,850,1000,1100,1200,1300,1400,1500,1600,2000,2100,2100
