Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,7782,0,1700,5517.301067553304,2.9624000017065555,26793.988000001264,138.77088152145978,65.17591044925213,0.0,1700,7400,11000,12000,16000,17000,19000,24000,27000,27000,27000
INFER,inference_time_ms,2772,0,1300,1253.6334912630027,19.804644000032567,1432.623562000117,0.0,23.216091463033525,0.0,1300,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400
WALL,predict_wall_time_ms,2772,0,12000,11790.345904365082,162.65040000143927,26794.006499996613,0.0,23.216091463033525,0.0,12000,14000,16000,16000,17000,20000,24000,26000,27000,27000,27000
,Aggregated,13326,0,1600,5935.280488697444,2.9624000017065555,26794.006499996613,81.03819600780429,111.60809337531917,0.0,1600,8700,11000,13000,16000,17000,20000,24000,27000,27000,27000
