Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3275,0,390,396.1083231450449,3.8354999996954575,1151.445600000443,270.5978625954198,27.604201092132257,0.0,390,470,520,560,650,730,830,910,1100,1200,1200
INFER,inference_time_ms,2685,0,120,116.78196976836355,19.51411200025177,228.74772000068333,0.0,22.631230513702324,0.0,120,130,150,160,190,200,210,220,230,230,230
WALL,predict_wall_time_ms,2685,0,430,443.12740465551053,44.221799998922506,1151.4576000008674,0.0,22.631230513702324,0.0,430,500,550,580,670,740,850,930,1100,1200,1200
,Aggregated,8645,0,300,323.95736594888655,3.8354999996954575,1151.4576000008674,102.51104684788895,72.8666621195369,0.0,300,410,480,510,610,700,800,890,1100,1200,1200
