Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3383,0,9900,7535.6331493348935,3.5138000021106564,11663.795199998276,271.3671297664795,28.52775782399167,0.0,9900,10000,11000,11000,11000,11000,12000,12000,12000,12000,12000
INFER,inference_time_ms,2793,0,1200,1185.726330980603,22.5659830002769,1386.2049370000022,0.0,23.55247638262156,0.0,1200,1300,1300,1300,1300,1300,1400,1400,1400,1400,1400
WALL,predict_wall_time_ms,2793,0,10000,8970.564275796654,95.48830000130692,11663.811500002339,0.0,23.55247638262156,0.0,10000,10000,11000,11000,11000,11000,12000,12000,12000,12000,12000
,Aggregated,8969,0,7600,6005.080455895613,3.5138000021106564,11663.811500002339,102.35644999442525,75.63271058923479,0.0,7600,10000,10000,11000,11000,11000,11000,12000,12000,12000,12000
