Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,2117,0,17000,11806.610970760546,5.8213000011164695,18531.963299999916,270.44638639584315,17.82994478953814,0.0,17000,17000,17000,17000,17000,18000,18000,18000,18000,19000,19000
INFER,inference_time_ms,1727,0,3100,2998.0879747445965,47.72234299980482,3553.312623000238,0.0,14.545259637001589,0.0,3100,3200,3200,3300,3400,3500,3600,3600,3600,3600,3600
WALL,predict_wall_time_ms,1727,0,17000,14353.608101910833,155.60030000051484,18531.982100001187,0.0,14.545259637001589,0.0,17000,17000,17000,17000,18000,18000,18000,18000,19000,19000,19000
,Aggregated,5571,0,9100,9865.549192152796,5.8213000011164695,18531.982100001187,102.77059773828756,46.92046406354132,0.0,9100,17000,17000,17000,17000,18000,18000,18000,18000,19000,19000
