Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,2324,0,230,233.22525709985706,3.4149000002798857,859.3740000014805,274.2263339070568,19.402608928832493,0.0,230,280,320,340,400,450,510,560,720,860,860
INFER,inference_time_ms,1938,0,96,100.12209042724592,32.159785999283486,268.08135300052527,0.0,16.179972506057386,0.0,96,110,130,140,160,180,210,230,270,270,270
WALL,predict_wall_time_ms,1938,0,250,261.05208302375047,44.19400000006135,859.3890000011015,0.0,16.179972506057386,0.0,250,300,330,360,420,460,530,580,720,860,860
,Aggregated,6200,0,170,200.31791058840335,3.4149000002798857,859.3890000011015,102.79064516129033,51.762553940947264,0.0,170,240,280,310,380,440,490,550,700,860,860
