Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,1375,0,90,164.5197160727297,2.59869999717921,20012.58769999913,274.60290909090907,11.568897502844873,0.0,90,130,160,180,210,250,300,330,20000,20000,20000
INFER,inference_time_ms,1146,0,28,76.2206228996301,13.01438100017549,19300.590344999364,0.0,9.6421502096438,0.0,28,31,32,33,35,37,40,43,19000,19000,19000
WALL,predict_wall_time_ms,1146,0,93,181.79524825481474,20.356199998786906,20012.616399999388,0.0,9.6421502096438,0.0,93,150,170,180,220,250,300,350,20000,20000,20000
,Aggregated,3667,0,44,142.3236427442047,2.59869999717921,20012.616399999388,102.9667302972457,30.853197922132473,0.0,44,94,130,160,200,230,280,320,20000,20000,20000
