Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,5712,0,430,475.3442697128187,3.2952000037766993,1675.218300006236,272.8345588235294,48.19691112138952,0.0,430,540,630,690,850,1000,1200,1200,1500,1700,1700
INFER,inference_time_ms,4761,0,41,48.36531423995418,3.858233001665212,777.4440520006465,0.0,40.17253043573801,0.0,41,57,66,74,89,110,140,170,210,780,780
WALL,predict_wall_time_ms,4761,0,440,487.1222971433625,13.855999990482815,1675.2392999915173,0.0,40.17253043573801,0.0,440,540,620,670,820,950,1100,1200,1500,1700,1700
,Aggregated,15234,0,310,345.5837591174737,3.2952000037766993,1675.2392999915173,102.29952737298149,128.54197199286554,0.0,310,440,520,580,760,900,1100,1200,1400,1700,1700
