Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3592,0,840,1875.0394508630545,3.6419999996724073,53790.75930000181,273.6820712694878,30.218496117977843,0.0,840,1100,1300,1500,2000,2400,25000,51000,53000,54000,54000
INFER,inference_time_ms,2985,0,38,604.292036595642,4.045096999107045,26388.359978000153,0.0,25.111974084678135,0.0,38,56,82,100,150,190,25000,26000,26000,26000,26000
WALL,predict_wall_time_ms,2985,0,850,2047.1613786264957,29.39390000028652,53790.77710000274,0.0,25.111974084678135,0.0,850,1100,1300,1400,1900,2300,28000,51000,54000,54000,54000
,Aggregated,9562,0,590,1532.078033041,3.6419999996724073,53790.77710000274,102.80966325036603,80.44244428733411,0.0,590,870,1100,1200,1800,2200,25000,28000,53000,54000,54000
