Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,6160,0,1400,2128.7866359091345,20.525200001429766,8118.997800003854,276.35097402597404,51.88573773646359,0.0,1400,1800,2100,3900,5100,6500,7100,7300,7800,8100,8100
INFER,inference_time_ms,5146,0,41,63.01287392941055,3.6904200023855083,657.7138450011262,0.0,43.344806232441826,0.0,41,60,81,91,170,200,250,260,300,660,660
WALL,predict_wall_time_ms,5146,0,1400,1884.9009986008089,48.626199990394525,6371.593799995026,0.0,43.344806232441826,0.0,1400,1700,1900,2200,4600,5000,5400,5700,6100,6400,6400
,Aggregated,16452,0,1100,1406.3512317797574,3.6904200023855083,8118.997800003854,103.4720398735716,138.57535020134725,0.0,1100,1400,1700,1900,4400,5100,6400,7000,7700,8000,8100
