Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,890,0,71,87.705164381995,3.075599997828249,676.3610999987577,278.6955056179775,7.494555148569571,0.0,73,100,130,150,180,200,220,240,680,680,680
INFER,inference_time_ms,756,0,29,28.079129376937853,2.2614650006289594,616.01665300077,0.0,6.366161452043366,0.0,29,29,30,30,31,34,38,42,620,620,620
WALL,predict_wall_time_ms,756,0,62,88.25310833327859,8.713300001545576,676.3881000006222,0.0,6.366161452043366,0.0,62,87,140,160,180,200,220,240,680,680,680
,Aggregated,2402,0,41,69.11106078638586,2.2614650006289594,676.3881000006222,103.26353039134055,20.226878052656303,0.0,41,68,86,110,170,190,220,230,620,680,680
